s
Thu Jun 17 23:02:03 2021    tmp

         341526 function calls (333424 primitive calls) in 1.276 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.098    0.098 client.py:1414(connect)
        1    0.000    0.000    0.000    0.000 client.py:1429(HTTPException)
        1    0.000    0.000    0.000    0.000 client.py:1434(NotConnected)
        1    0.000    0.000    0.000    0.000 client.py:1437(InvalidURL)
        1    0.000    0.000    0.000    0.000 client.py:1440(UnknownProtocol)
        1    0.000    0.000    0.000    0.000 client.py:1445(UnknownTransferEncoding)
        1    0.000    0.000    0.000    0.000 client.py:1448(UnimplementedFileMode)
        1    0.000    0.000    0.000    0.000 client.py:1451(IncompleteRead)
        1    0.000    0.000    0.000    0.000 client.py:1465(ImproperConnectionState)
        1    0.000    0.000    0.000    0.000 client.py:1468(CannotSendRequest)
        1    0.000    0.000    0.000    0.000 client.py:1471(CannotSendHeader)
        1    0.000    0.000    0.000    0.000 client.py:1474(ResponseNotReady)
        1    0.000    0.000    0.000    0.000 client.py:1477(BadStatusLine)
        1    0.000    0.000    0.000    0.000 client.py:1484(LineTooLong)
        1    0.000    0.000    0.000    0.000 client.py:1489(RemoteDisconnected)
        1    0.000    0.000    0.000    0.000 client.py:174(HTTPMessage)
        2    0.000    0.000    0.001    0.001 client.py:204(parse_headers)
        1    0.000    0.000    0.000    0.000 client.py:228(HTTPResponse)
        2    0.000    0.000    0.000    0.000 client.py:237(__init__)
        2    0.000    0.000    0.555    0.277 client.py:267(_read_status)
        2    0.000    0.000    0.556    0.278 client.py:300(begin)
        2    0.000    0.000    0.000    0.000 client.py:380(_check_close)
        2    0.000    0.000    0.003    0.002 client.py:409(_close_conn)
        2    0.000    0.000    0.000    0.000 client.py:414(close)
        2    0.000    0.000    0.000    0.000 client.py:426(flush)
        2    0.000    0.000    0.299    0.150 client.py:447(read)
      108    0.001    0.000    0.002    0.000 client.py:513(_read_next_chunk_size)
        1    0.000    0.000    0.000    0.000 client.py:529(_read_and_discard_trailer)
      108    0.000    0.000    0.006    0.000 client.py:543(_get_chunk_left)
