('Total Revenue', '159,969,000', '143,015,000', '125,843,000', '110,360,000', '89,950,000')
         341460 function calls (333358 primitive calls) in 1.594 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      127    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
    127/4    0.000    0.000    0.131    0.033 <frozen importlib._bootstrap>:650(_load_unlocked)
      126    0.000    0.000    0.000    0.000 __init__.py:604(_linkage_fixer)
      124    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
      124    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
      117    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      117    0.000    0.000    0.003    0.000 sre_parse.py:96(closegroup)
    116/1    0.001    0.000    1.594    1.594 {built-in method builtins.exec}
      114    0.000    0.000    0.002    0.000 _htmlparser.py:251(handle_comment)
      114    0.000    0.000    0.003    0.000 _markupbase.py:168(parse_comment)
      110    0.000    0.000    0.000    0.000 os.py:670(__getitem__)
      110    0.000    0.000    0.000    0.000 os.py:693(__iter__)
      110    0.000    0.000    0.000    0.000 os.py:748(encode)
      110    0.000    0.000    0.000    0.000 _collections_abc.py:742(__iter__)
      107    0.000    0.000    0.000    0.000 {method 'find' of 'bytes' objects}
      107    0.001    0.000    0.013    0.000 client.py:513(_read_next_chunk_size)
      107    0.001    0.000    0.017    0.000 client.py:543(_get_chunk_left)
      105    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      105    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
      105    0.003    0.000    0.003    0.000 {built-in method io.open_code}
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      105    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
    105/4    0.000    0.000    0.131    0.033 <frozen importlib._bootstrap_external>:777(exec_module)
      105    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:849(get_code)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
      105    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:969(get_data)
      105    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
      100    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      100    0.000    0.000    0.000    0.000 re.py:270(escape)
       98    0.000    0.000    0.000    0.000 enum.py:506(<lambda>)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       94    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       94    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       94    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
       88    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
       87    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       84    0.000    0.000    0.000    0.000 css_parser.py:767(parse_combinator)
       77    0.000    0.000    0.004    0.000 css_parser.py:458(parse_attribute_selector)
       77    0.000    0.000    0.000    0.000 css_types.py:226(__init__)
       76    0.000    0.000    0.000    0.000 element.py:1456(__eq__)
       76    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
       75    0.000    0.000    0.000    0.000 element.py:1376(get)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
       69    0.000    0.000    0.001    0.000 css_parser.py:528(parse_tag_pattern)
       69    0.000    0.000    0.000    0.000 css_types.py:212(__init__)
       68    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       68    0.000    0.000    0.002    0.000 _htmlparser.py:104(handle_startendtag)
       62    0.000    0.000    0.000    0.000 element.py:347(_last_descendant)
       61    0.000    0.000    0.000    0.000 element.py:1283(<listcomp>)
       61    0.000    0.000    0.000    0.000 element.py:1266(get_text)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       60    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       59    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       59    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       59    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
       59    0.000    0.000    0.000    0.000 __init__.py:21(__new__)
       57    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
       52    0.000    0.000    0.003    0.000 css_parser.py:1012(<listcomp>)
    52/14    0.001    0.000    0.012    0.001 css_parser.py:862(parse_selectors)
       50    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       50    0.000    0.000    0.000    0.000 enum.py:223(<genexpr>)
       46    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       45    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       42    0.000    0.000    0.000    0.000 enum.py:543(_find_data_type)
       42    0.000    0.000    0.000    0.000 enum.py:532(_get_mixins_)
    42/30    0.000    0.000    0.009    0.000 css_parser.py:565(parse_pseudo_class)
       38    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
    38/29    0.000    0.000    0.009    0.000 css_parser.py:712(parse_pseudo_open)
       37    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       36    0.000    0.000    0.000    0.000 enum.py:743(name)
       35    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       35    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       35    0.000    0.000    0.000    0.000 datetime.py:379(_check_int_field)
       34    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       34    0.000    0.000    0.000    0.000 enum.py:927(__or__)
       34    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
       34    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
       33    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
    33/23    0.000    0.000    0.073    0.003 <frozen importlib._bootstrap>:1017(_handle_fromlist)
       30    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       29    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
       28    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       28    0.000    0.000    0.000    0.000 __init__.py:554(__missing__)
       28    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
       28    0.000    0.000    0.000    0.000 message.py:479(set_raw)
       24    0.000    0.000    0.000    0.000 tokenize.py:94(<listcomp>)
       23    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       22    0.000    0.000    0.000    0.000 util.py:14(lower)
       21    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       19    0.008    0.000    0.008    0.000 {built-in method _imp.create_dynamic}
       19    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1088(__init__)
       19    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1099(create_module)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1107(exec_module)
       19    0.000    0.000    0.000    0.000 tokenize.py:58(group)
       18    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       18    0.000    0.000    0.000    0.000 abc.py:84(__new__)
       17    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       17    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       17    0.000    0.000    0.000    0.000 message.py:462(get)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       16    0.000    0.000    0.000    0.000 enum.py:68(__init__)
       16    0.000    0.000    0.000    0.000 enum.py:143(__prepare__)
       16    0.000    0.000    0.000    0.000 enum.py:175(<dictcomp>)
       16    0.000    0.000    0.000    0.000 enum.py:200(<setcomp>)
       16    0.001    0.000    0.003    0.000 enum.py:157(__new__)
       16    0.000    0.000    0.000    0.000 enum.py:370(__getattr__)
       16    0.000    0.000    0.000    0.000 enum.py:522(_check_for_existing_members)
       16    0.000    0.000    0.000    0.000 enum.py:579(_find_new_)
       16    0.000    0.000    0.000    0.000 request.py:621(__lt__)
       15    0.000    0.000    0.035    0.002 css_parser.py:297(__init__)
       15    0.000    0.000    0.000    0.000 ssl.py:965(_sslcopydoc)
    14/10    0.000    0.000    0.077    0.008 {built-in method builtins.__import__}
       14    0.000    0.000    0.000    0.000 css_parser.py:450(__init__)
       14    0.000    0.000    0.012    0.001 css_parser.py:1055(process_selectors)
       14    0.000    0.000    0.001    0.000 hashlib.py:123(__get_openssl_constructor)
       14    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
       14    0.000    0.000    0.000    0.000 _policybase.py:311(header_fetch_parse)
       14    0.000    0.000    0.000    0.000 utils.py:51(_has_surrogates)
       13    0.001    0.000    0.001    0.000 {method 'join' of 'bytes' objects}
       13    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       13    0.000    0.000    0.000    0.000 enum.py:398(__members__)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.round}
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       11    0.000    0.000    0.000    0.000 request.py:362(data)
       11    0.000    0.000    0.000    0.000 parse.py:99(_noop)
       11    0.000    0.000    0.000    0.000 parse.py:110(_coerce_args)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       10    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       10    0.001    0.000    0.002    0.000 __init__.py:313(namedtuple)
       10    0.000    0.000    0.002    0.000 enum.py:430(_create_)
       10    0.000    0.000    0.001    0.000 enum.py:500(<listcomp>)
       10    0.000    0.000    0.003    0.000 enum.py:483(_convert_)
       10    0.000    0.000    0.000    0.000 request.py:444(add_handler)
       10    0.000    0.000    0.000    0.000 client.py:980(_output)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
       10    0.000    0.000    0.000    0.000 socket.py:97(_intenum_converter)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        9    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1508(<setcomp>)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
        9    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        9    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        9    0.000    0.000    0.000    0.000 enum.py:1010(_power_of_two)
        9    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        9    0.000    0.000    0.000    0.000 css_types.py:331(pickle_register)
        9    0.000    0.000    0.000    0.000 request.py:614(add_parent)
        9    0.000    0.000    0.000    0.000 {built-in method _bisect.insort_right}
        8    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        8    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        8    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
